dimension,value,n,n_artists,top_artist,top_artist_share,median_cps,mean_cps,iqr,p25,p75,min,max,spend_weighted_cps,total_spend,total_streams,quote
format×genre,marquee | big-room,2,1,KSHMR,1.0,0.1863256715738184,0.1863256715738184,0.013195477668001221,0.1797279327398178,0.19292341040781902,0.1731301939058172,0.19952114924181963,0.1853911753800519,1000.0,5394.0,too_thin
format×tier,marquee | developing,25,6,Âme,0.36,0.11668611435239207,0.180050723846128,0.19352930995053674,0.07724146082023402,0.2707707707707708,0.023182492581602373,0.6906474820143885,0.06849614617940199,10308.67,150500.0,quote
format×tier,marquee | mid,38,5,Gramatik,0.4473684210526316,0.2258828890407838,0.24723896159582118,0.1474167057398767,0.16124944470389901,0.3086661504437757,0.048947626040137054,0.49800796812749004,0.17723555733243124,23052.32,130066.0,quote
format×tier,marquee | established,19,4,Hayden James,0.42105263157894735,0.16191103789126854,0.1525367004633745,0.09786152752411287,0.09282466993731342,0.1906861974614263,0.028944474986256182,0.32335329341317365,0.12555405165224287,9183.4,73143.0,quote
format×genre,showcase | dubstep,28,6,Zomboy,0.39285714285714285,0.13378839639299184,0.15156779580460727,0.09316131191670335,0.09015287105458564,0.18331418297128899,0.039763803010119884,0.4057166190281748,0.09466887879403106,14921.33,157616.0,quote
format×genre,showcase | house,15,2,Âme,0.5333333333333333,0.18181818181818182,0.18742903830773974,0.07448493959151636,0.13950806740149063,0.213993006993007,0.111064453125,0.32175032175032175,0.16401656122069222,3525.7,21496.0,directional
format×genre,showcase | melodic-bass,6,1,LSDREAM,1.0,0.15764371139100664,0.1323569086967841,0.0933222088679561,0.07496443686978842,0.16828664573774452,0.03694126339120798,0.22267379679144386,0.06815984179481059,1999.06,29329.0,directional
format×genre,showcase | downtempo,14,3,Bob Moses,0.35714285714285715,0.06308634222919937,0.07134338048210843,0.019405753267886447,0.04887463287115844,0.06828038613904489,0.02702556618561159,0.2085070892410342,0.05349105442450578,5982.6,111843.0,quote
format×genre,showcase | big-room,4,1,KSHMR,1.0,0.14920660333724695,0.12238400125315255,0.037967079264598524,0.1168117626629005,0.15477884192749902,0.03497039359108325,0.1561524047470331,0.08249886677380805,2002.0,24267.0,too_thin
format×tier,showcase | developing,20,4,Âme,0.4,0.15764371139100664,0.14776890862057762,0.0961465962389309,0.09387984479755773,0.19002644103648864,0.03694126339120798,0.2675059382422803,0.09799440311625487,6968.4800000000005,71111.0,quote
format×tier,showcase | mid,29,6,Zomboy,0.3793103448275862,0.16223231667748214,0.1687619702384225,0.09490569612873136,0.111064453125,0.20597014925373136,0.039763803010119884,0.4057166190281748,0.09814031893978009,13477.61,137330.0,quote
format×tier,showcase | established,18,4,Bob Moses,0.2777777777777778,0.0657562373058741,0.08268574065345158,0.04695342135177355,0.04887463287115844,0.09582805422293199,0.02702556618561159,0.2085070892410342,0.05866284622731614,7984.6,136110.0,quote
