release_id,track_name,artist,genre,release_key,wk1_actual,plan_total,plan_marquee,plan_showcase,plan_meta_traffic,plan_meta_awareness,act_total,act_marquee,act_showcase,act_meta_traffic,act_meta_awareness,has_campaigns,spl,spl_source,rec_28d_channel,rec_wk1_channel,model_cps_marquee,model_cps_showcase,model_cps_meta,plan_model_streams_28d,rec_model_streams_28d,delta_28d,plan_model_streams_wk1,rec_model_streams_wk1,delta_wk1,already_greedy_28d,awareness_share_plan,obs_streams_total,rec_scored_on_actuals,rec_beats_obs,n_spotify_campaigns,n_meta_campaigns
8ab72135-362c-450a-8881-3348ce4401ad,Lotis Eater,Boogie T,dubstep,lotis eater,69925,0.0,0.0,0.0,0.0,0.0,699.75,0.0,450.0,249.75,0.0,True,2.6630892944643105,artist,showcase,marquee,0.18381995897766867,0.13047385119719718,0.8162383857317193,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5885.9758279891585,9060.985,3175.009172010842,1,1
78b3e4d8-58eb-4848-a207-f00119ae2ac3,Need your love,Cedric Gervais,house,need your love,41164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
c49119e6-b37b-434d-a6c0-040fef4f8b59,On My Mind,Bob Moses,downtempo,on my mind,242039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.34014723629412,artist,showcase,marquee,0.0916695632538429,0.06506628018966629,0.40705164307069863,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
b47d846d-5690-4718-b51e-c8203bb55828,One I Want,Hayden James,house,one i want,88421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.383013725772993,artist,showcase,marquee,0.1447020333180719,0.10270827862260372,0.6425382463608819,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
b34ab02f-88b1-42eb-a8f1-54faa6358a46,Pull Me Closer,LSDREAM,melodic-bass,pull me closer,160631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.4346595811658074,artist,showcase,marquee,0.14252619605933117,0.1011638877506596,0.6328766084105371,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
6b964a04-af53-4c4d-86b1-7347d698a705,Rump Shaker,Griz,dubstep,rump shaker,392498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.4611623775298224,artist,showcase,marquee,0.1989015309723775,0.14117862336231612,0.8832069458800398,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
d8145143-cffd-4249-8095-4973f906c4f8,Shifting The Lens,Steller,melodic-bass,shifting the lens,30241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.7848914178455113,genre,showcase,marquee,0.2742626021773324,0.19466927391594388,1.217841984694396,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
b02bf3e7-5d2d-4f87-988c-f871ff664f70,STOMP,Cedric Gervais,house,stomp,32561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
e1640e4a-2059-4629-914b-c2bbb585d2db,The Montauk,gramatik,dubstep,the montauk,47618,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,True,1.6732517192328942,artist,showcase,marquee,0.2925614593641199,0.207657647882221,1.299096652217705,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,2026.0,2407.809223976135,381.80922397613494,2,0
1ab2927f-c9bf-404b-b5a0-65e0fef90553,The Other Side,Level Up,house,the other side,59488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
2cf739fc-b447-4052-a87a-d58fc0b115ef,Time Machine,Zomboy,dubstep,time machine,123642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.438809226034244,artist,showcase,marquee,0.20072458297950713,0.14247261024832059,0.8913020680619854,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
c688c0c1-ce26-44b9-a3fd-1411352daa0c,When I'm Hot,Griz,dubstep,when i m hot,225215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.4611623775298224,artist,showcase,marquee,0.1989015309723775,0.14117862336231612,0.8832069458800398,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
eb7df52a-16fc-4668-8afb-ee132a9ed07e,Work Your Body,Joshwa,house,work your body,116036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
88620604-3fed-44e0-915c-ffb2ce584aac,World is Mine,Kasbo,house,world is mine,507176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.7800248840628887,genre,showcase,marquee,0.17608797952443947,0.12498575761774551,0.7819051258261323,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,0,0
