release_id,track_name,artist,genre,release_type,is_feature,editorial_tier,ml,ml_bin,tier,wk1,locked,live_ols_pred,live_pred,live_ols_log_resid,live_ratio,locked_ratio,A_pred,A_ols_log_resid,A_ratio,A_cooks_dropped,A_cooks_d0_dropped,B_pred,B_ols_log_resid,B_ratio,B_cooks_dropped,B_cooks_d0_dropped,C_pred,C_ols_log_resid,C_ratio,C_cooks_dropped,C_cooks_d0_dropped,D_pred,D_ols_log_resid,D_ratio,D_cooks_dropped,D_cooks_d0_dropped,E_pred,E_ols_log_resid,E_ratio,E_cooks_dropped,E_cooks_d0_dropped
a169f11f-18fc-4cef-bd90-1357ea679867,OBSESSED,BORGORE,house,focus_track,False,1,630000.0,500k-2M,mid,47365,106810,106622.025938029,113019.34749431074,-0.8114065533687622,0.41908753722352093,0.4434509877352308,93069.78463932226,-0.7480367177377616,0.5089191963165686,False,False,91165.09748653694,-0.7166639652228959,0.5195519042470695,False,False,87201.680439251,-0.6722154462121672,0.5431661380997904,False,False,88105.76589794,-0.6825298223868366,0.5375925118779025,False,False,88082.86592575282,-0.6822698740339934,0.5377322763308485,False,False
d81bd447-4dd9-47a6-ae1a-25e25a7833b8,Ashiko,O'Flynn,house,lead_single,False,1,786000.0,500k-2M,mid,47407,113996,113515.35481662554,113515.35481662554,-0.8731682153768752,0.41762632092003765,0.4158654689638233,103958.64866809774,-0.785223313990965,0.45601785524697763,False,False,100306.0365259196,-0.7494559807395369,0.4726235991564654,False,False,98862.76318111182,-0.7349627608120048,0.4795233157013087,False,False,106584.67380363867,-0.8101698313240355,0.44478252180363276,False,False,106633.74023914363,-0.8106300770921262,0.444577859631314,False,False
f9ced8aa-e3c2-4289-aa4e-de9d50b84c4c,Crossroads City,Gramatik,melodic-bass,single,True,1,814000.0,500k-2M,mid,43480,214764,111761.65593810422,111761.65593810422,-0.9440674694980995,0.38904219551006003,0.20245478758078636,106803.04239531573,-0.8986853507148691,0.4071045077448748,False,False,106142.97969651975,-0.8924859880193203,0.4096361353743458,False,False,106583.9439509111,-0.8966318185370081,0.4079413689178681,False,False,97789.23002523428,-0.8105133862824747,0.44462974080867684,False,False,98059.11319206089,-0.813269430405434,0.44340600872903113,False,False
e1640e4a-2059-4629-914b-c2bbb585d2db,The Montauk,gramatik,dubstep,single,True,1,825000.0,500k-2M,mid,47618,216002,112187.27220621622,112187.27220621622,-0.8569587071899871,0.42445100111241957,0.22045166248460663,107050.04083740945,-0.810085555498679,0.44482000779732095,False,False,106364.33305348842,-0.803659464030801,0.4476876659025718,False,False,106996.24060820973,-0.8095828583252516,0.445043673771341,False,False,98554.77401335319,-0.7274016339592304,0.48316279426046105,False,False,98831.0883964701,-0.7302013741253734,0.4818119558592329,False,False
9152aade-80de-4330-aca1-272ed1dca802,Psychedelic Symphony,Big Gigantic,dubstep,single,False,0,876000.0,500k-2M,mid,78512,84907,61728.91351558442,61728.91351558442,0.24049904368655284,1.2718837175091122,0.924682299457053,48764.985555552375,0.47623893312883503,1.6100076541714599,False,False,47959.54461586603,0.49289364431533933,1.637046402939084,False,False,48467.63602614477,0.48235520257680875,1.6198850704756567,False,False,52439.41182767882,0.4035930366156588,1.4971945196105236,False,False,52612.85130302955,0.40029106809511283,1.4922589834145545,False,False
a0825241-32a2-4574-8f6e-339fcbe9df0c,beautiful colors,big gigantic,dubstep,single,True,2,877000.0,500k-2M,mid,127667,311825,216450.5484116909,216450.5484116909,-0.5279367960741403,0.5898206354144976,0.4094187444880943,234968.66874409863,-0.6100268692872763,0.5433362698200436,False,False,228405.08937831258,-0.5816954488005877,0.5589498918237422,False,False,229153.5411360701,-0.5849669527145505,0.5571242729528323,False,False,221048.6750313808,-0.548957614802088,0.5775515278789886,False,False,221161.41626013778,-0.5494675137547347,0.5772571100278795,False,False
8ab72135-362c-450a-8881-3348ce4401ad,Lotis Eater,Boogie T,dubstep,single,False,0,980000.0,500k-2M,mid,69925,89082,63721.39941817988,63721.39941817988,0.09290279229455756,1.0973550587159613,0.7849509440739992,49715.60418013469,0.34110438785575603,1.4065000547240771,False,False,48815.01750370182,0.3593852378382554,1.4324485286663542,False,False,50057.08728889629,0.33425913917796635,1.3969050895118866,False,False,55970.934729660636,0.22259070577640294,1.2493091340664122,False,False,56176.56646860936,0.218923535893909,1.2447360954157471,False,False
88620604-3fed-44e0-915c-ffb2ce584aac,World is Mine,Kasbo,house,single,True,2,995000.0,500k-2M,mid,507176,329131,224327.82119901312,224327.82119901312,0.8157496138949742,2.2608698167226313,1.5409548173827443,240128.99073371134,0.7476818430396559,2.112098162118325,True,False,232999.23078998152,0.7778229311617686,2.1767282161422807,True,False,237626.71790803215,0.7581570531170261,2.134339120049163,True,False,237868.70362034868,0.7571392274040907,2.132167839992437,True,False,238087.84232141872,0.756218392431137,2.1302053689718106,True,False
7452a9ac-7a07-43ca-a2f5-6a180bc6238e,Movement,Crankdat,dubstep,single,False,2,1070000.0,500k-2M,mid,468885,182939,234902.01549729283,234902.01549729283,0.6911890639571361,1.9960875985136184,2.563067470577624,238105.27713862646,0.6776446190344121,1.9692339692539114,False,False,223966.2389145357,0.7388622144563488,2.093552145504055,False,False,227345.5122055023,0.7238865953287217,2.062433498032568,False,False,275998.9801289085,0.5299603652953735,1.6988649732727343,False,False,275716.37801899464,0.5309848143358291,1.7006062656448273,False,False
014cb496-a6b7-4808-b802-9b2e2ae58197,Its Called Freefall (Griz Remix),Griz,dubstep,alternate_version,True,0,1127000.0,500k-2M,mid,419766,154458,64625.91218472525,52993.2479914747,1.8710819653854376,7.921122329915123,2.7176708231363866,49924.808870215245,2.0883573676819154,8.407964086376886,True,True,50962.6734785777,2.07814473349052,8.236734287035585,True,True,53948.85215403423,2.0212017903028787,7.780814294278,True,True,52937.2271181113,2.0401313880684704,7.929504865516206,True,True,53271.996889793394,2.033827399249006,7.8796745852871295,True,True
03cdf258-6b2e-42c9-8250-4ad3041506f1,Bass Cannon (Flux's Version) - Crankdat Remix,Crankdat,dubstep,alternate_version,True,1,1202000.0,500k-2M,mid,226684,102339,124803.88737091851,102339.18764415318,0.5968133729109013,2.2150263766819225,2.215030438053919,109644.40237608169,0.6854925590072263,2.067447084279515,False,False,109536.0108023341,0.6968444087150427,2.0694929305857976,False,False,115651.95549663098,0.6425124723999964,1.9600533257442712,False,False,118961.1186637971,0.6143010638771411,1.905530164361053,False,False,119440.89051160973,0.6102761607552445,1.8978760040136018,False,False
6b964a04-af53-4c4d-86b1-7347d698a705,Rump Shaker,Griz,dubstep,focus_track,True,2,1900000.0,500k-2M,mid,392498,434090,269422.9876818722,285588.3669427846,0.3762488521492475,1.374348697048413,0.9041857679283098,249616.45533134797,0.380035187702763,1.5724043492204351,False,False,243736.06850469476,0.41457008455797073,1.6103402438873746,False,False,269045.80904671486,0.3157743789925469,1.458851938228296,False,False,325589.3036026961,0.12501925570429506,1.2055002902642955,False,False,326576.21950845467,0.12199267234731792,1.2018572588989098,False,False
