group,decay_rank,decay,artist,track,release_date,genre,release_type,editorial_tier,editorial_label,is_feature,monthly_listeners_at_release,ml_source,wk1_streams,wk3_streams,wk1_saves,save_rate,save_rate_pct,save_rate_d2d7,save_rate_d2d7_pct,d1_save_dump,locked_forecast_streams,pct_of_forecast,wk1_stream_days,wk3_stream_days,ads_matched,ads_match_method,ads_ran_actual,ads_planned,actual_spend_total,actual_spend_marquee,actual_spend_showcase,actual_spend_meta_traffic,actual_spend_meta_awareness,actual_channel_marquee,actual_channel_showcase,actual_channel_meta_traffic,actual_channel_meta_awareness,planned_spend_total,planned_spend_marquee,planned_spend_showcase,planned_spend_meta_traffic,planned_spend_meta_awareness,spotify_format,spotify_ad_rows,meta_ad_rows,release_key,id
middle,25,0.5360732069449635,Joshwa,Lets Get Ill,2026-06-12,house,single,1,Small,False,2000000.0,at_release,99007.0,53075.0,7625.0,0.0770147565323664,7.7015,0.06077348066298342,6.0773,False,170000.0,58.239411764705885,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,lets get ill,b78f3cf3-aded-4651-b6ee-398984d18c04
middle,26,0.5229929851909587,AC Slater,Freak No More,2026-02-27,melodic-bass,single,0,None,False,537000.0,at_release,64150.0,33550.0,5470.0,0.0852689010132502,8.5269,0.07230746809352294,7.2307,False,68865.0,93.15327089232557,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,freak no more,acad0151-eeb9-4105-a3d8-eb20a323653e
middle,27,0.5146445992257644,bob moses,leave like this,2026-05-06,downtempo,lead_single,2,Medium,False,2000000.0,at_release,135101.0,69529.0,10605.0,0.07849682829882829,7.8497,0.0633198649471412,6.332,False,239080.0,56.508700016730806,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,leave like this,fa462427-e169-4f27-8642-fa43949bbc2c
middle,28,0.5108962255827496,Crankdat,Bass Cannon (Flux's Version) - Crankdat Remix,2026-06-18,dubstep,alternate_version,1,Small,True,1202000.0,at_release,226684.0,115812.0,27766.0,0.12248769211766158,12.2488,0.10259792166266986,10.2598,False,102339.0,221.50304380539188,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,bass cannon flux s version crankdat remix,03cdf258-6b2e-42c9-8250-4ad3041506f1
middle,29,0.5080169503473881,big gigantic,beautiful colors,2026-05-01,dubstep,single,2,Medium,True,877000.0,at_release,127667.0,64857.0,11636.0,0.09114336516092647,9.1143,0.07640321096551067,7.6403,False,311825.0,40.94187444880943,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,beautiful colors,a0825241-32a2-4574-8f6e-339fcbe9df0c
middle,30,0.5009510189488738,Boogie T,Lotis Eater,2026-02-20,dubstep,single,0,None,False,980000.0,at_release,69925.0,35029.0,9625.0,0.13764747944225955,13.7647,0.1041116141550402,10.4112,False,89082.0,78.49509440739992,7,7,True,exact_key,True,False,699.75,0.0,450.0,249.75,0.0,False,True,True,False,0.0,0.0,0.0,0.0,0.0,marquee,1,1,lotis eater,8ab72135-362c-450a-8881-3348ce4401ad
middle,31,0.48397180047465077,Subtronics,Eyes Cut Deeper,2026-04-17,dubstep,single,2,Medium,True,3630000.0,at_release,744126.0,360136.0,76078.0,0.1022380618336142,10.2238,0.07319355379147849,7.3194,False,572644.0,129.94565559055889,7,7,True,awareness_name|exact_key,True,False,4988.71,0.0,0.0,0.0,4988.71,False,False,False,True,0.0,0.0,0.0,0.0,0.0,marquee,0,2,eyes cut deeper,1825a25b-0767-45ee-8b92-031a2129802d
middle,32,0.4818835323888271,O'Flynn,Fara,2026-01-30,house,focus_track,1,Small,False,254000.0,at_release,124086.0,59795.0,7556.0,0.0608932514546363,6.0893,0.054374053083440885,5.4374,False,72411.0,171.36346687657954,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,fara,e8c58708-8cbb-41bb-97c8-2af77b48a284
middle,33,0.4712150259787169,Joshwa,Freaks,2025-12-12,house,album_track,1,Small,False,2000000.0,at_release,71982.0,33919.0,5852.0,0.08129810230335362,8.1298,0.06840028893704506,6.84,False,170000.0,42.34235294117647,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,freaks,002c00c4-803d-4ce6-a3fd-9f35e2e2ba80
middle,34,0.4648951127509404,Duke Dumot,Your loving,2025-05-09,house,album_track,1,Small,False,4100000.0,at_release,569707.0,264854.0,26282.0,0.04613248564613038,4.6132,0.03906621438759463,3.9066,False,231126.0,246.49195676816973,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,your loving,14af625a-751e-417f-9a75-01f70f8b11ba
middle,35,0.46449359720605354,Caleb Jackson,Foreva,2026-03-06,house,single,1,Small,False,48000.0,at_release,10308.0,4788.0,2926.0,0.28385719829258826,28.3857,0.07689647221581739,7.6896,True,34462.0,29.911206546340896,7,7,True,awareness_name,True,False,103.84,0.0,0.0,0.0,103.84,False,False,False,True,0.0,0.0,0.0,0.0,0.0,marquee,0,1,foreva,6f456ebf-5c83-4397-b00b-2a24d4da77f2
middle,36,0.44047537523890157,LSDREAM,Pull Me Closer,2026-04-03,melodic-bass,single,1,Small,True,403000.0,at_release,160631.0,70754.0,15911.0,0.09905310930019735,9.9053,0.08115147938969906,8.1151,False,158970.0,101.04485122979179,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,pull me closer,b34ab02f-88b1-42eb-a8f1-54faa6358a46
middle,37,0.4280273947360339,Cedric Gervais,STOMP,2025-11-07,house,single,1,Small,True,5590000.0,at_release,32561.0,13937.0,2272.0,0.06977672675900617,6.9777,0.06867812637736907,6.8678,False,489806.0,6.647734000808484,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,stomp,b02bf3e7-5d2d-4f87-988c-f871ff664f70
middle,38,0.4119903442346483,Steller,Shifting The Lens,2026-02-20,melodic-bass,single,0,None,False,126000.0,at_release,30241.0,12459.0,3320.0,0.10978472934096095,10.9785,0.07382308124147886,7.3823,False,37033.0,81.65960089649772,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,shifting the lens,d8145143-cffd-4249-8095-4973f906c4f8
decliner,39,0.3619821772639692,Eazy Baked,Fresh Baked Bread,2026-01-30,dubstep,single,0,None,True,101000.0,at_release,83040.0,30059.0,10896.0,0.13121387283236993,13.1214,0.10404248753471602,10.4042,False,33689.0,246.48995220992015,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,fresh baked bread,55c97458-59cb-48ec-b2bf-2e55b5c5a9d3
decliner,40,0.35904466119926887,Zomboy,Time Machine,2026-03-27,dubstep,single,1,Small,True,540000.0,at_release,123642.0,44393.0,13092.0,0.10588634929878196,10.5886,0.0832714507527172,8.3271,False,180176.0,68.6229020513276,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,time machine,2cf739fc-b447-4052-a87a-d58fc0b115ef
decliner,41,0.3550510036196117,Caleb Jackson,Everybody High - Chesster Remix,2026-01-30,house,alternate_version,0,None,True,52000.0,at_release,3039.0,1079.0,436.0,0.14346824613359657,14.3468,0.08426966292134831,8.427,True,22179.0,13.702150683078587,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,everybody high chesster remix,ebe7f034-258c-45e2-b4e1-da3c30962ad5
decliner,42,0.3487391236210762,KSHMR,Ultra Love RYOS Remix,2026-06-19,big-room,alternate_version,1,Small,True,4300000.0,at_release,146763.0,51182.0,4249.0,0.028951438714117317,2.8951,0.02432507396449704,2.4325,False,385257.0,38.09483020425326,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,ultra love ryos remix,cb8923f0-5d68-4ee9-82c0-21beb068c216
decliner,43,0.3463086209565083,Zen Selekta,Hustle,2026-01-09,melodic-bass,single,0,None,False,17000.0,at_release,12922.0,4475.0,2480.0,0.191920755301037,19.1921,0.2311938521485009,23.1194,False,15716.0,82.22193942479002,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,hustle,500292f3-3a9b-481d-8c44-9ed9d642d791
decliner,44,0.3382244273197509,BORGORE,OBSESSED,2026-06-19,house,focus_track,1,Small,False,630000.0,at_release,47365.0,16020.0,4611.0,0.0973503641929695,9.735,0.08347872371883963,8.3479,False,106810.0,44.34509877352308,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,obsessed,a169f11f-18fc-4cef-bd90-1357ea679867
decliner,45,0.3311293925556443,KSHMR,Bass Down Low,2026-05-01,big-room,alternate_version,1,Small,True,4337000.0,at_release,111467.0,36910.0,5729.0,0.05139637740317762,5.1396,0.042268254552142726,4.2268,False,439400.0,25.368001820664542,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,bass down low,d1007c54-44c1-4864-bb54-f06eb508a75e
decliner,46,0.32978076674645695,Âme,Love Is The Dance,2026-03-13,house,focus_track,1,Small,True,473000.0,at_release,105276.0,34718.0,7107.0,0.06750826399179301,6.7508,0.05903992196753292,5.904,False,194082.0,54.24305190589544,7,7,True,exact_key,True,False,576.0,0.0,576.0,0.0,0.0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,marquee,2,1,love is the dance,19feb499-caaa-436c-9010-ecdc4ef57d0a
decliner,47,0.3233885934405265,Bob Moses,Higher Ground,2025-10-17,downtempo,album_track,2,Medium,False,2000000.0,at_release,64121.0,20736.0,25278.0,0.39422342134402144,39.4223,0.08529741863075196,8.5297,True,239080.0,26.81989292287101,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,higher ground,59d045b2-c9ed-45bb-ae34-9b3c2a0cd90f
decliner,48,0.3194352630087827,Zomboy,Bromance is Dead,2026-06-05,dubstep,single,1,Small,False,543000.0,at_release,84712.0,27060.0,14950.0,0.17648030975540654,17.648,0.127477756740001,12.7478,False,97310.0,87.05374576097009,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,bromance is dead,f4b1e800-ba7e-4175-9b8a-7a8c96346890
decliner,49,0.2975345457600067,gramatik,The Montauk,2026-05-01,dubstep,single,1,Small,True,825000.0,at_release,47618.0,14168.0,3227.0,0.06776849090679996,6.7768,0.06004714201532115,6.0047,False,216002.0,22.045166248460664,7,7,True,exact_key,True,False,500.0,500.0,0.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,2,0,the montauk,e1640e4a-2059-4629-914b-c2bbb585d2db
decliner,50,0.29328560270258225,Elderbrook,Is it over Now?,2026-05-28,downtempo,single,2,Medium,False,8640000.0,at_release,515951.0,151321.0,21477.0,0.041626045884202184,4.1626,0.030197298710303314,3.0197,False,447164.0,115.38294674884382,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,is it over now,5262a673-1e75-434a-a410-64153311fc64
decliner,51,0.2829288302105998,Griz,Rump Shaker,2026-06-04,dubstep,focus_track,2,Medium,True,1900000.0,at_release,392498.0,111049.0,44344.0,0.11297891963780707,11.2979,0.08127557917739217,8.1276,False,434090.0,90.41857679283099,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,rump shaker,6b964a04-af53-4c4d-86b1-7347d698a705
decliner,52,0.2822630255697015,CloZee,Ankaa,2025-11-07,melodic-bass,single,1,Small,True,500000.0,at_release,149552.0,42213.0,15533.0,0.10386353910345565,10.3864,0.08054456317247899,8.0545,False,174339.0,85.78229770734029,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,ankaa,cc49328f-6d0c-4445-85ff-ce848650d680
decliner,53,0.26734525313380625,Cedric Gervais,Need your love,2025-07-18,house,single,1,Small,True,5500000.0,at_release,41164.0,11005.0,1651.0,0.040107861237974926,4.0108,0.03113095238095238,3.1131,False,486416.0,8.462715042268346,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,need your love,78b3e4d8-58eb-4848-a207-f00119ae2ac3
decliner,54,0.25160166697766995,Subtronics,Eyes Cut Deeper - Mport Remix,2026-06-01,dubstep,alternate_version,1,Small,True,2900000.0,at_release,16077.0,4045.0,4239.0,0.2636685948871058,26.3669,0.2326736398525096,23.2674,False,131327.0,12.241960906744234,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,eyes cut deeper mport remix,c41f626b-5ae4-4264-aa9e-a19277cb4068
decliner,55,0.22798215038962769,Griz,When I'm Hot,2026-06-05,dubstep,album_track,1,Small,True,1950000.0,at_release,225215.0,51345.0,36009.0,0.15988721887973714,15.9887,0.10641354737366385,10.6414,False,312113.0,72.15816066616898,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,when i m hot,c688c0c1-ce26-44b9-a3fd-1411352daa0c
decliner,56,0.20357808656964266,Zomboy,Valley Of Violence - Borgore Remix,2026-07-03,big-room,alternate_version,1,Small,False,540000.0,at_release,63833.0,12995.0,6263.0,0.09811539485845878,9.8115,0.08059933407325194,8.0599,False,83696.0,76.26768304339514,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,valley of violence borgore remix,06559c79-4f6b-4652-82fe-105f069045ab
decliner,57,0.19981600735970562,Gramatik,Crossroads City,2026-01-30,melodic-bass,single,1,Small,True,814000.0,at_release,43480.0,8688.0,2496.0,0.05740570377184913,5.7406,0.05179791306958937,5.1798,False,214764.0,20.245478758078637,7,7,True,exact_key,True,False,500.0,500.0,0.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,2,0,crossroads city,f9ced8aa-e3c2-4289-aa4e-de9d50b84c4c
decliner,58,0.14199690780372692,KSHMR,Khoye Yahaan Reimagined,2026-05-29,big-room,alternate_version,0,None,False,4500000.0,at_release,98312.0,13960.0,3847.0,0.03913052323215884,3.9131,0.03753192549679188,3.7532,False,171023.0,57.4846658051841,7,7,False,,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,marquee,0,0,khoye yahaan reimagined,f943607f-0f5f-42fb-a138-fd5907ad7b80
