Ad account,Currency,Reporting starts,Reporting ends,Campaign name,Campaign delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent,Ends,Impressions,CPM,Link clicks,shop_clicks,CPC (link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Landing page views,Cost per landing page view,Results (initial),Results (initial) indicator
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Secret Weapons 18 (LPV),inactive,7-day click or 1-day view,8620,actions:omni_landing_page_view,99848,1.563767,0.05786079,Using ad set budget,0,498.76,2026-06-21,156139,3.194333,10207,,0.048865,6.537124,13155,8.425185,0.037914,8620,0.057861,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,PHASE 1: Jimi Jules Awareness - Video Views,inactive,7-day click or 1-day view,,,0,0,,Using ad set budget,0,0,Ongoing,0,0,,,,,0,0,0,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,PHASE 2: Jimi Jules Awareness - Video Views,inactive,7-day click or 1-day view,,,0,0,,Using ad set budget,0,0,Ongoing,0,0,,,,,0,0,0,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,PHASE 3: Jimi Jules Awareness - Video Views,inactive,7-day click or 1-day view,,,0,0,,Using ad set budget,0,0,Ongoing,0,0,,,,,0,0,0,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,PHASE 4: Jimi Jules Awareness - Video Views - Album Release,inactive,7-day click or 1-day view,,,0,0,,Using ad set budget,0,0,Ongoing,0,0,,,,,0,0,0,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Skatmak_Rewarped_Interaktion,inactive,7-day click or 1-day view,,,0,0,,Using ad set budget,0,0,2023-06-19,0,0,,,,,0,0,0,,,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Mooglie - Modern Fears (LPV),not_delivering,7-day click or 1-day view,1672,actions:omni_landing_page_view,33342,1.548947,0.05963517,Using ad set budget,0,99.71,2026-07-06,51645,1.930681,2095,,0.047594,4.05654,2883,5.582341,0.034586,1672,0.059635,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Âme - Pha Na Pha (TSHA Remix) (LPV),not_delivering,7-day click or 1-day view,1198,actions:omni_landing_page_view,29799,1.597973,0.12396494,Using ad set budget,0,148.51,2026-07-13,47618,3.118779,1456,,0.101999,3.057667,2195,4.609601,0.067658,1198,0.123965,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Jimi Jules - Whisper To Me (Awareness),inactive,7-day click or 1-day view,32612,video_thruplay_watched_actions,223173,1.208829,0.00658929,Using ad set budget,0,214.89,2026-07-24,269778,0.796544,482,,0.44583,0.178665,4969,1.841885,0.043246,165,1.302364,,
Innervisions-Gm-H,EUR,2023-07-04,2026-08-04,Jimi Jules - Whisper to Me (Streams),active,Multiple attribution settings,,,54674,1.549932,,Using ad set budget,0,250.56,2026-08-17,84741,2.956774,2215,,0.11312,2.613847,2936,3.464675,0.085341,1843,0.135952,,
Night-Bass,USD,2023-07-04,2026-08-04,AC Slater - Music Is My Life Free DL,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,4785,1.910554,,500,Lifetime,96.99,2026-01-23,9142,10.609276,142,,0.683028,1.553271,231,2.526799,0.41987,27,3.592222,,
Night-Bass,USD,2023-07-04,2026-08-04,AC Slater - Music Is My Life Free DL - Copy,inactive,"7-day click, 1-day view, or 1-day engaged-view",99,actions:offsite_conversion.custom.2061303507992707,13139,2.536038,4.03838384,400,Lifetime,399.8,2026-01-23,33321,11.998439,474,,0.84346,1.422526,876,2.628973,0.456393,90,4.442222,,
Night-Bass,USD,2023-07-04,2026-08-04,AC Slater - Get Wild (Beatport Traffic),inactive,7-day click or 1-day view,730,actions:link_click,9244,1.559606,0.13647945,100,Lifetime,99.63,2026-02-11,14417,6.910592,730,,0.136479,5.063467,969,6.721232,0.102817,556,0.179191,,
Night-Bass,USD,2023-07-04,2026-08-04,AC Slater - Keep On Dub Free DL (Conversions),inactive,"7-day click, 1-day view, or 1-day engaged-view",62,actions:offsite_conversion.fb_pixel_complete_registration,13620,2.573862,4.83290323,300,Lifetime,299.64,2026-02-25,35056,8.547467,765,,0.391686,2.182223,1160,3.308991,0.25831,93,3.221935,,
Night-Bass,USD,2023-07-04,2026-08-04,AC Slater - Saturdays Free DL (Conversions),completed,"7-day click, 1-day view, or 1-day engaged-view",105,actions:offsite_conversion.fb_pixel_complete_registration,11261,1.989788,1.90447619,200,Lifetime,199.97,2026-04-29,22407,8.924443,857,,0.233337,3.824698,1422,6.346231,0.140626,181,1.104807,,
Night-Bass,USD,2023-07-04,2026-08-04,Saturdays Free D/ L - Test Audience 1P -Tailored web traffic campaign 4/16/2026 Campaign,completed,7-day click or 1-day view,1287,actions:omni_landing_page_view,14193,1.370958,0.07753691,Using ad set budget,0,99.79,2026-04-23,19458,5.128482,1533,,0.065095,7.878508,1729,8.885805,0.057715,1287,0.077537,,
Night-Bass,USD,2023-07-04,2026-08-04,Hi8 - Clicks – Feeling Awake,inactive,-,,,0,0,,Using ad set budget,0,0,1969-12-31,0,0,,,,,0,0,0,,,,
Night-Bass,USD,2023-07-04,2026-08-04,Swingin' - Video Views - New Awareness Campaign,completed,7-day click or 1-day view,17685,video_thruplay_watched_actions,8494,2.331881,0.01130506,Using ad set budget,0,199.93,2026-06-24,19807,10.093906,16,,12.495625,0.08078,24,0.121169,8.330417,,,,
